,SITE_ID,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,MIN_DATE,MAX_DATE,SITE_NAME
301,US-Me3,44.3154,-121.6078,1005.0,200401010000,200912312330,Metolius-second young aged pine
302,US-Me4,44.4992,-121.6224,922.0,199601010000,200012312330,Metolius-old aged ponderosa pine
303,US-Me5,44.4372,-121.5668,1188.0,200001010000,200212312330,Metolius-first young aged pine
304,US-Me6,44.3233,-121.6078,998.0,201001010000,202112312330,Metolius Young Pine Burn
305,US-Mo1,39.2298,-92.1167,260.0,201501010000,202112312330,LTAR CMRB Field 1 (CMRB ASP)
306,US-Mo2,38.9488,-91.9945,275.0,201801010000,202112312330,LTAR CMRB Tucker Prairie (CMRB TP)
307,US-Mo3,39.2311,-92.1497,261.0,201601010000,202112312330,LTAR CMRB Field 3 (CMRB BAU)
308,US-Mpj,34.4385,-106.2377,2196.0,200801010000,202012312330,Mountainair Pinyon-Juniper Woodland
309,US-Myb,38.0499,-121.765,-4.0,201001010000,202112312330,Mayberry Wetland
310,US-NC1,35.8118,-76.7119,5.0,200501010000,201212312330,NC_Clearcut
